,capacity,geo_point_2d
460,6,"48.8827527322814,2.37753326550446"
461,5,"48.87503772103354,2.355872478835376"
462,5,"48.87237202619695,2.348597047328869"
463,5,"48.86998540884642,2.3959493720882743"
464,5,"48.88362080554112,2.3511899967315575"
465,5,"48.86878815129231,2.389593271194675"
466,6,"48.858891183275155,2.319000239352106"
467,6,"48.83924985494262,2.359250762263156"
468,5,"48.874077592644326,2.3400582034347157"
469,6,"48.85216320000481,2.340731939189581"
470,5,"48.859404210998875,2.4043486963344547"
471,6,"48.85553544759764,2.381925803004122"
472,6,"48.84292383451143,2.2564139667514485"
473,6,"48.87096646636548,2.2979925498401745"
474,6,"48.85929510584923,2.303404598646244"
475,6,"48.837331802260806,2.279753786988211"
476,6,"48.84244621259363,2.4114464080317837"
477,6,"48.860098355572845,2.3655464820025416"
478,6,"48.8828989272322,2.323930959530344"
479,7,"48.89726315752837,2.3442151229645942"
480,6,"48.88542795795231,2.302943891958091"
481,6,"48.89396987587845,2.331861135870585"
482,6,"48.89435666793119,2.3297620912005534"
483,6,"48.87927311535491,2.366613151067633"
484,6,"48.888545057187194,2.3990509650654737"
485,6,"48.8779263055631,2.3051354171041507"
486,6,"48.84688645567091,2.30539541177088"
487,6,"48.85126422988328,2.259468978776094"
488,6,"48.84412577931225,2.285509546537421"
489,7,"48.83929267574811,2.308165140259179"
490,6,"48.84589443428288,2.382235414060901"
491,6,"48.856066979801206,2.269115736014526"
492,6,"48.83871584890382,2.380973414406737"
493,6,"48.85214975296745,2.299448413543775"
494,6,"48.8470564039527,2.2984506901772703"
495,6,"48.843593235346695,2.3152296221719584"
496,6,"48.8470128218558,2.312351476336376"
497,6,"48.87320555740998,2.301402972077872"
498,6,"48.86822012348028,2.2958397361642064"
499,6,"48.88763769686182,2.3445208694324777"
500,7,"48.8963924505366,2.3758959245881193"
501,6,"48.892075664009134,2.372407980320037"
502,6,"48.82624468249421,2.3773951177052255"
503,7,"48.85919864184517,2.3864155785414614"
504,6,"48.84812448910624,2.3717881319055443"
505,7,"48.87158401659264,2.4088829498634174"
506,7,"48.86590992598585,2.4041320433131603"
507,7,"48.82317034212203,2.3653708196384433"
508,6,"48.868583963336654,2.35559052674811"
509,6,"48.83484385477088,2.2839678007585964"
510,6,"48.833733224278845,2.321669929570122"
511,6,"48.85375495739874,2.310861919702878"
512,6,"48.856959210717,2.2844464667122586"
513,6,"48.846203536524264,2.2852028692688733"
514,6,"48.869067742965996,2.3044615461868134"
515,6,"48.84116043857508,2.2808204747773586"
516,6,"48.83735600764075,2.2595114331473987"
517,6,"48.84051784078135,2.308678925366432"
518,7,"48.83455890673131,2.298713907796433"
519,6,"48.83442636471954,2.2957704323399923"
520,6,"48.83122267050991,2.3376079201374145"
521,6,"48.85624693554764,2.365037181724094"
522,6,"48.86639308409967,2.3263972603680023"
523,6,"48.89009587211137,2.3328721257294673"
524,6,"48.88729741978429,2.306232977799008"
525,6,"48.853866554994696,2.3785386495334664"
526,6,"48.849075018249046,2.3746437457153315"
527,6,"48.8892376573974,2.332255074443072"
528,6,"48.8725486320106,2.3240972793207497"
529,6,"48.84490933440043,2.2862379473422934"
530,6,"48.88416249520417,2.330426275850507"
531,6,"48.86743231496664,2.3263320033999006"
532,5,"48.84205274846163,2.3895552423841337"
533,6,"48.8287050149406,2.322113342081344"
534,6,"48.829092546379265,2.326122939172794"
535,21,"48.8695365007408,2.323327412974238"
536,6,"48.88935080622196,2.318607680924791"
537,5,"48.86409083484668,2.358976052649465"
538,6,"48.84120715589421,2.352651070408342"
539,6,"48.89447981981164,2.3813319039135386"
540,6,"48.84290091920603,2.326292053850066"
541,6,"48.87007500885425,2.285578155375122"
542,6,"48.89030482875179,2.3485845636246157"
543,6,"48.87603349447566,2.372246767279006"
544,6,"48.88635082739636,2.322457302204931"
545,6,"48.86999753433117,2.3409736316565803"
546,6,"48.83871508143276,2.39642411288921"
547,7,"48.836550053591736,2.3933089612868588"
548,4,"48.82268756283504,2.3645227903722703"
549,6,"48.85014476550608,2.376328995931455"
550,6,"48.84144490820416,2.33877545589458"
551,6,"48.849031480966225,2.376347633721167"
552,6,"48.82540255978927,2.3430735432913763"
553,6,"48.863673713765166,2.3599408006060756"
554,6,"48.829043099733816,2.360563301117898"
555,6,"48.867646489776725,2.3407528863387452"
556,6,"48.83303493648287,2.3470436766363"
557,6,"48.84307518044876,2.3495899667743734"
558,6,"48.861092730120845,2.3828361966389693"
559,1,"48.870375923253256,2.3456684804318346"
560,6,"48.87752359196611,2.308167301169951"
561,6,"48.8646578089593,2.3366861142326947"
562,6,"48.8599293533667,2.303041087149849"
563,6,"48.841623822460924,2.3138566324347356"
564,6,"48.847039011081186,2.4078614250899806"
565,6,"48.88865401483883,2.335575233736946"
566,5,"48.865098696131426,2.3581994511667705"
567,6,"48.86528912296391,2.300238083890525"
568,6,"48.84069273391027,2.3539138212623514"
569,6,"48.82254637175704,2.346597770096161"
570,6,"48.836524101226026,2.3258001798716332"
571,5,"48.89184607057237,2.363381338068841"
572,6,"48.85902913242684,2.386013910316264"
573,6,"48.86395965816718,2.277116364185858"
574,6,"48.8411050262828,2.411350808646705"
575,6,"48.86110909099036,2.3813000739100882"
576,6,"48.88770972763029,2.306208100952405"
577,6,"48.85839212765894,2.359207457321046"
578,13,"48.88427543237332,2.3485484001502024"
579,7,"48.876785780467664,2.3829606494860642"
580,6,"48.878777801786164,2.3018454946415425"
581,6,"48.85204544973588,2.393729536244987"
582,5,"48.82220760365966,2.3496361335915803"
583,5,"48.86762645224122,2.3350917477990536"
584,6,"48.87974318886049,2.287180864790898"
585,6,"48.848667854354176,2.294019605398216"
586,6,"48.85679314127862,2.3563310126773453"
587,7,"48.88297424021524,2.388042355493502"
588,6,"48.86669895601307,2.325456638039395"
589,5,"48.848548725302315,2.260487424840322"
590,7,"48.84268853919013,2.324478024279476"
591,6,"48.8304722373496,2.323301470299539"
592,6,"48.8520324454364,2.365898423010262"
593,6,"48.84684198433958,2.383686368113325"
594,6,"48.86299822810124,2.3393087501618712"
595,6,"48.88591702078487,2.299619699387184"
596,5,"48.886199295571885,2.30728784850537"
597,6,"48.8346915480624,2.3218317914177615"
598,6,"48.87096512901449,2.381610152478292"
599,6,"48.85165898681248,2.2852483814242297"
600,6,"48.899597294405744,2.379819238652891"
601,6,"48.8395378653467,2.333767801492781"
602,6,"48.856498749771106,2.3606609751937753"
603,9,"48.853471152079535,2.392418044032295"
604,6,"48.84930791710698,2.3457465080303326"
605,6,"48.84471207618975,2.345204211414211"
606,6,"48.822126968349004,2.363274980845808"
607,6,"48.851359228170494,2.3504574464312857"
608,7,"48.86457447894616,2.364479196481166"
609,6,"48.83968346133683,2.40227816098362"
610,6,"48.8380115483408,2.399185067581614"
611,5,"48.83173269511439,2.3767731485879176"
612,6,"48.858390246247765,2.347270765901831"
613,6,"48.84329176926663,2.342481756369401"
614,6,"48.8335223424806,2.35650521354024"
615,8,"48.83381374502974,2.3435096125933534"
616,6,"48.84395254648544,2.3517161686687613"
617,6,"48.879403065353735,2.325358737528567"
